Word,Meaning,Type,Audio,Sentence,Syn1,Syn2,Syn3,
harangue,a loud bombastic declamation expressed with strong emotion,transitive verb,https://lex-audio.useremarkable.com/mp3/harangue_us_1.mp3,the kind of guy who harangued total strangers about PCB levels in whitefish,0,pompous,ranting,blustering
iconoclast,someone who attacks cherished ideas or institutions,noun,https://lex-audio.useremarkable.com/mp3/iconoclast_us_1.mp3,"More and more, African-American iconoclasts reject victimology and embrace American possibility.",0,image breaker,aggressor,assailant
impertinent,improperly forward or bold,adjective,https://lex-audio.useremarkable.com/mp3/impertinent_us_1.mp3,an impertinent question,0,irreverent,pert,saucy
ingenious,showing inventiveness and skill,adjective,https://lex-audio.useremarkable.com/mp3/ingenious_us_1.mp3,he was ingenious enough to overcome the limited budget,0,clever,cunning,adroit
innocuous,not injurious to physical or mental health,adjective,https://lex-audio.useremarkable.com/mp3/innocuous_us_1.mp3,it was an innocuous question,0,unobjectionable,innocent,harmless
intimate,marked by close acquaintance, association, or familiarity,noun,https://lex-audio.useremarkable.com/mp3/intimate_us_3.mp3,his circle of intimates,0,adumbrate,insinuate,suggest
involved,connected by participation or association or use,adjective,https://lex-audio.useremarkable.com/mp3/involved_us_1.mp3,"a long, involved conversation",0,mired,Byzantine,convoluted
laconic,brief and to the point,adjective,https://lex-audio.useremarkable.com/mp3/laconic_us_1.mp3,his laconic reply suggested a lack of interest in the topic,0,crisp,curt,terse
maintain,keep in a certain state, position, or activity,transitive verb,https://lex-audio.useremarkable.com/mp3/maintain_us_1.mp3,the need to maintain close links between industry and schools,0,keep,hold,conserve
mercurial,liable to sudden unpredictable change,noun,https://lex-audio.useremarkable.com/mp3/mercurial_us_1.mp3,for twenty years organic mercurials were the most potent diuretics in clinical use,0,erratic,fickle,Mercurial
parochial,narrowly restricted in outlook or scope,adjective,https://lex-audio.useremarkable.com/mp3/parochial_us_1.mp3,the parochial church council,0,insular,conservative,conventional
parsimonious,excessively unwilling to spend,adjective,https://lex-audio.useremarkable.com/mp3/parsimonious_us_1.mp3,"parsimonious New Hampshire voters, who have a phobia about taxes",0,penurious,avaricious,frugal
prevaricate,be deliberately ambiguous or unclear,intransitive verb,https://lex-audio.useremarkable.com/mp3/prevaricate_us_1.mp3,he seemed to prevaricate when journalists asked pointed questions,0,beat around the bush,equivocate,tergiversate
prodigal,a recklessly extravagant person,noun,https://lex-audio.useremarkable.com/mp3/prodigal_us_1.mp3,the government wished to clip the wings of the local authority prodigals,0,profligate,squanderer,consumer
profligate,recklessly wasteful,noun,https://lex-audio.useremarkable.com/mp3/profligate_us_2.mp3,he is a drunkard and a profligate,0,rake,rakehell,rip
relevant,having a bearing on or connection with the subject at issue,adjective,https://lex-audio.useremarkable.com/mp3/relevant_us_1.mp3,what small companies need is relevant advice,0,pertinent,germane,admissible
restive,impatient especially under restriction or delay,adjective,https://lex-audio.useremarkable.com/mp3/restive_us_1.mp3,the crowd had been waiting for hours and many were becoming restive,0,edgy,high-strung,highly strung
undermine,weaken or impair, especially gradually,transitive verb,https://lex-audio.useremarkable.com/mp3/undermine_us_3.mp3,the flow of water had undermined pillars supporting the roof,0,sabotage,countermine,counteract
upbraid,express criticism towards,transitive verb,https://lex-audio.useremarkable.com/mp3/upbraid_us_1.mp3,he was upbraided for his slovenly appearance,0,reproach,accuse,criminate
venality,susceptibility or openness to bribery and corruption,noun,https://lex-audio.useremarkable.com/mp3/venality_us_2.mp3,"his zeal to justify the investments of the people who believed in him would be taken as evidence of integrity, not personal venality.",0,corruption,corruptness,vice
veracious,habitually speaking the truth,adjective,https://lex-audio.useremarkable.com/mp3/veracious_us_1.mp3,a veracious account,0,honest,credible,ethical
vindicate,clear of accusation, blame, or doubt with supporting proof,verb,https://lex-audio.useremarkable.com/mp3/vindicate_us_1.mp3,hospital staff were vindicated by the inquest verdict,0,justify,acquit,assoil
wanting,lacking,adjective,https://lex-audio.useremarkable.com/mp3/wanting_us_1.mp3,they weren't wanting in confidence,0,lacking,missing,deficient
